"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 26일","33,960.0","33,908.0","33,999.0","33,889.5","-","0.15%"
"2021년 04월 25일","33,908.0","33,908.5","33,961.5","33,904.0","-","-0.10%"
"2021년 04월 23일","33,941.0","33,715.0","34,056.0","33,608.0","138.00K","0.69%"
"2021년 04월 22일","33,709.0","33,986.0","34,039.0","33,605.0","181.67K","-0.90%"
"2021년 04월 21일","34,016.0","33,692.0","34,040.0","33,625.0","145.32K","0.93%"
"2021년 04월 20일","33,703.0","33,996.0","34,066.0","33,572.0","168.39K","-0.75%"
"2021년 04월 19일","33,958.0","34,015.0","34,048.0","33,860.0","151.91K","-0.36%"
"2021년 04월 16일","34,081.0","33,940.0","34,144.0","33,880.0","123.26K","0.47%"
"2021년 04월 15일","33,923.0","33,661.0","33,962.0","33,652.0","140.82K","0.89%"
"2021년 04월 14일","33,624.0","33,575.0","33,800.0","33,519.0","169.92K","0.16%"
"2021년 04월 13일","33,570.0","33,647.0","33,712.0","33,431.0","159.14K","-0.18%"
"2021년 04월 12일","33,631.0","33,660.0","33,686.0","33,550.0","127.10K","-0.15%"
"2021년 04월 09일","33,682.0","33,451.0","33,694.0","33,371.0","131.74K","0.87%"
"2021년 04월 08일","33,390.0","33,344.0","33,464.0","33,227.0","122.89K","0.19%"
"2021년 04월 07일","33,328.0","33,333.0","33,407.0","33,233.0","129.14K","0.04%"
"2021년 04월 06일","33,315.0","33,417.0","33,454.0","33,266.0","136.53K","-0.30%"
"2021년 04월 05일","33,415.0","33,236.0","33,504.0","33,157.0","120.60K","1.14%"
"2021년 04월 02일","33,037.0","33,045.0","33,264.0","33,017.0","15.73K","0.00%"
"2021년 04월 01일","33,037.0","32,912.0","33,060.0","32,842.0","139.33K","0.42%"
"2021년 03월 31일","32,898.0","32,938.0","33,045.0","32,866.0","140.70K","-0.08%"
"2021년 03월 30일","32,925.0","33,063.0","33,129.0","32,859.0","166.34K","-0.32%"
"2021년 03월 29일","33,032.0","32,951.0","33,134.0","32,746.0","195.24K","0.45%"
"2021년 03월 28일","32,885.0","32,966.5","32,966.5","32,879.0","-","-0.21%"
"2021년 03월 26일","32,954.0","32,554.0","32,984.0","32,496.0","188.39K","1.39%"
"2021년 03월 25일","32,501.0","32,338.0","32,569.0","31,951.0","254.56K","0.56%"
"2021년 03월 24일","32,319.0","32,348.0","32,669.0","32,232.0","206.19K","0.04%"
"2021년 03월 23일","32,306.0","32,644.0","32,689.0","32,235.0","180.14K","-0.96%"
"2021년 03월 22일","32,619.0","32,467.0","32,688.0","32,314.0","151.38K","-0.58%"
"2021년 03월 19일","32,807.9","32,899.0","32,994.0","32,841.0","2.77K","-0.22%"
"2021년 03월 18일","32,880.0","33,024.0","33,233.0","32,842.0","35.81K","-0.41%"
"2021년 03월 17일","33,017.0","32,862.0","33,053.0","32,780.0","38.63K","0.55%"
"2021년 03월 16일","32,835.0","32,941.0","32,972.0","32,773.0","53.89K","-0.37%"
"2021년 03월 15일","32,957.0","32,834.0","32,967.0","32,624.0","67.98K","0.56%"
"2021년 03월 12일","32,772.0","32,494.0","32,822.0","32,389.0","110.35K","0.90%"
"2021년 03월 11일","32,479.0","32,352.0","32,641.0","32,254.0","165.77K","0.62%"
"2021년 03월 10일","32,279.0","31,868.0","32,373.0","31,727.0","216.99K","1.47%"
"2021년 03월 09일","31,811.0","31,857.0","32,118.0","31,792.0","202.66K","0.11%"
"2021년 03월 08일","31,776.0","31,562.0","32,114.0","31,287.0","289.39K","0.99%"
"2021년 03월 05일","31,465.0","30,899.0","31,545.0","30,641.0","342.92K","1.90%"
"2021년 03월 04일","30,878.0","31,259.0","31,436.0","30,512.0","410.09K","-1.15%"
"2021년 03월 03일","31,236.0","31,364.0","31,609.0","31,216.0","255.15K","-0.39%"
"2021년 03월 02일","31,358.0","31,537.0","31,587.0","31,281.0","207.25K","-0.48%"
"2021년 03월 01일","31,509.0","30,981.0","31,637.0","30,934.0","207.99K","1.93%"
"2021년 02월 26일","30,912.0","31,308.0","31,456.0","30,803.0","372.58K","-1.46%"
"2021년 02월 25일","31,371.0","31,939.0","32,033.0","31,247.0","332.31K","-1.71%"
"2021년 02월 24일","31,916.0","31,481.0","31,964.0","31,322.0","247.68K","1.35%"
"2021년 02월 23일","31,492.0","31,500.0","31,615.0","31,103.0","295.74K","0.08%"
"2021년 02월 22일","31,466.0","31,460.0","31,592.0","31,190.0","214.66K","0.10%"
"2021년 02월 19일","31,433.0","31,445.0","31,583.0","31,302.0","159.13K","0.01%"
"2021년 02월 18일","31,431.0","31,555.0","31,632.0","31,228.0","194.05K","-0.37%"
"2021년 02월 17일","31,549.0","31,470.0","31,581.0","31,269.0","179.75K","0.29%"
"2021년 02월 16일","31,458.0","31,425.0","31,662.0","31,373.0","184.81K","-0.34%"
"2021년 02월 15일","31,564.0","31,433.5","31,612.0","31,432.0","-","0.42%"
"2021년 02월 14일","31,433.5","31,413.0","31,471.0","31,413.0","-","0.12%"
"2021년 02월 12일","31,397.0","31,350.0","31,420.0","31,216.0","111.29K","0.12%"
"2021년 02월 11일","31,359.0","31,370.0","31,465.0","31,168.0","135.57K","0.10%"
"2021년 02월 10일","31,328.0","31,318.0","31,451.0","31,119.0","157.71K","0.16%"
"2021년 02월 09일","31,278.0","31,294.0","31,340.0","31,144.0","101.80K","0.03%"
"2021년 02월 08일","31,268.0","31,126.0","31,296.0","31,050.0","110.82K","0.73%"
"2021년 02월 05일","31,042.0","30,968.0","31,149.0","30,924.0","120.89K","0.30%"
"2021년 02월 04일","30,950.0","30,694.0","30,990.0","30,542.0","114.24K","1.05%"
"2021년 02월 03일","30,627.0","30,609.0","30,720.0","30,412.0","130.70K","0.13%"
"2021년 02월 02일","30,586.0","30,122.0","30,738.0","30,070.0","153.45K","1.58%"
"2021년 02월 01일","30,110.0","29,810.0","30,235.0","29,552.0","170.38K","0.77%"
"2021년 01월 29일","29,879.0","30,445.0","30,521.0","29,754.0","316.41K","-2.06%"
"2021년 01월 28일","30,507.0","30,190.0","30,843.0","29,950.0","297.30K","1.05%"
"2021년 01월 27일","30,189.0","30,848.0","30,884.0","30,053.0","276.29K","-2.12%"
"2021년 01월 26일","30,842.0","30,853.0","31,017.0","30,666.0","153.22K","-0.08%"
"2021년 01월 25일","30,868.0","30,920.0","31,015.0","30,457.0","239.89K","-0.13%"
"2021년 01월 22일","30,909.0","31,058.0","31,086.0","30,791.0","141.82K","-0.56%"
"2021년 01월 21일","31,082.0","31,064.0","31,188.0","31,016.0","120.35K","-0.05%"
"2021년 01월 20일","31,096.0","30,850.0","31,134.0","30,772.0","140.80K","0.87%"
"2021년 01월 19일","30,828.0","30,628.0","30,982.0","30,605.0","191.00K","0.16%"
"2021년 01월 18일","30,779.0","30,660.0","30,784.0","30,613.0","-","0.37%"
"2021년 01월 17일","30,664.5","30,626.0","30,727.0","30,621.0","-","-0.18%"
"2021년 01월 15일","30,720.0","30,905.0","30,957.0","30,506.0","198.84K","-0.61%"
"2021년 01월 14일","30,909.0","30,990.0","31,116.0","30,882.0","127.42K","-0.16%"
"2021년 01월 13일","30,959.0","30,956.0","31,060.0","30,869.0","131.91K","-0.05%"
"2021년 01월 12일","30,974.0","30,928.0","31,012.0","30,777.0","128.91K","0.23%"
"2021년 01월 11일","30,902.0","30,970.0","31,022.0","30,638.0","166.35K","-0.29%"
"2021년 01월 08일","30,993.0","30,951.0","31,148.0","30,687.0","190.44K","0.16%"
"2021년 01월 07일","30,942.0","30,790.0","31,087.0","30,696.0","167.87K","0.72%"
"2021년 01월 06일","30,720.0","30,287.0","30,912.0","30,154.0","314.93K","1.44%"
"2021년 01월 05일","30,285.0","30,108.0","30,393.0","29,974.0","188.61K","0.60%"
"2021년 01월 04일","30,104.0","30,481.0","30,691.0","29,760.0","266.25K","-1.24%"
"2021년 01월 01일","30,482.0","30,482.0","30,482.0","30,482.0","-","-0.05%"
"2020년 12월 31일","30,497.0","30,328.0","30,526.0","30,230.0","82.99K","0.64%"
"2020년 12월 30일","30,302.0","30,273.0","30,416.0","30,211.0","96.13K","0.21%"
"2020년 12월 29일","30,238.0","30,318.0","30,502.0","30,166.0","116.98K","-0.22%"
"2020년 12월 28일","30,305.0","30,028.0","30,418.0","29,956.0","111.13K","0.65%"
"2020년 12월 24일","30,109.0","30,083.0","30,151.0","29,997.0","51.43K","0.25%"
"2020년 12월 23일","30,034.0","29,903.0","30,182.0","29,735.0","130.35K","0.41%"
"2020년 12월 22일","29,912.0","30,100.0","30,150.0","29,879.0","153.13K","-0.67%"
"2020년 12월 21일","30,113.0","30,300.0","30,333.0","29,318.0","278.39K","-0.82%"
"2020년 12월 18일","30,363.1","30,289.0","30,390.0","30,170.0","2.31K","0.23%"
"2020년 12월 17일","30,293.0","30,172.0","30,340.0","30,150.0","19.48K","0.44%"
"2020년 12월 16일","30,161.0","30,238.0","30,321.0","30,084.0","28.50K","-0.14%"
"2020년 12월 15일","30,203.0","29,938.0","30,241.0","29,840.0","62.64K","1.13%"
"2020년 12월 14일","29,865.0","30,134.0","30,325.0","29,848.0","87.52K","-0.56%"
"2020년 12월 11일","30,033.0","30,043.0","30,089.0","29,721.0","105.66K","0.08%"
"2020년 12월 10일","30,010.0","30,062.0","30,149.0","29,868.0","155.18K","-0.18%"
"2020년 12월 09일","30,063.0","30,206.0","30,309.0","29,946.0","187.33K","-0.35%"
"2020년 12월 08일","30,170.0","29,988.0","30,237.0","29,852.0","145.65K","0.38%"
"2020년 12월 07일","30,057.0","30,174.0","30,265.0","29,954.0","131.54K","-0.47%"
"2020년 12월 04일","30,198.0","29,945.0","30,216.0","29,935.0","120.26K","0.89%"
"2020년 12월 03일","29,932.0","29,886.0","30,092.0","29,755.0","155.24K","0.21%"
"2020년 12월 02일","29,868.0","29,765.0","29,907.0","29,589.0","146.36K","0.21%"
"2020년 12월 01일","29,804.0","29,680.0","30,057.0","29,614.0","170.02K","0.59%"
"2020년 11월 30일","29,629.0","29,914.0","29,972.0","29,428.0","171.26K","-0.82%"
"2020년 11월 27일","29,874.0","29,862.0","29,978.0","29,696.0","98.41K","0.36%"
"2020년 11월 26일","29,765.5","29,847.0","29,907.5","29,724.5","-","-0.21%"
"2020년 11월 25일","29,828.0","30,029.0","30,165.0","29,757.0","138.71K","-0.57%"
"2020년 11월 24일","29,998.0","29,560.0","30,067.0","29,552.0","153.62K","1.53%"
"2020년 11월 23일","29,546.0","29,133.0","29,621.0","29,116.0","154.47K","1.14%"
"2020년 11월 20일","29,212.0","29,270.0","29,440.0","29,123.0","148.85K","-0.78%"
"2020년 11월 19일","29,443.0","29,370.0","29,476.0","29,182.0","161.85K","0.18%"
"2020년 11월 18일","29,391.0","29,693.0","29,896.0","29,331.0","164.84K","-1.11%"
"2020년 11월 17일","29,720.0","29,892.0","29,898.0","29,449.0","155.95K","-0.49%"
"2020년 11월 16일","29,865.0","29,435.0","29,998.0","29,435.0","164.29K","1.55%"
"2020년 11월 13일","29,410.0","29,060.0","29,483.0","28,858.0","156.90K","1.44%"
"2020년 11월 12일","28,992.0","29,366.0","29,367.0","28,815.0","185.69K","-1.09%"
"2020년 11월 11일","29,311.0","29,360.0","29,570.0","29,184.0","167.39K","-0.03%"
"2020년 11월 10일","29,319.0","29,092.0","29,389.0","28,781.0","227.54K","0.93%"
"2020년 11월 09일","29,048.0","28,386.0","30,000.0","28,328.0","313.05K","2.99%"
"2020년 11월 06일","28,204.0","28,319.0","28,457.0","27,966.0","207.26K","-0.33%"
"2020년 11월 05일","28,297.0","27,832.0","28,390.0","27,648.0","193.71K","2.03%"
"2020년 11월 04일","27,735.0","27,401.0","28,194.0","26,903.0","309.16K","1.31%"
"2020년 11월 03일","27,376.0","26,852.0","27,534.0","26,807.0","179.27K","2.16%"
"2020년 11월 02일","26,796.0","26,372.0","26,938.0","26,172.0","218.40K","1.52%"
"2020년 10월 30일","26,394.0","26,303.0","26,533.0","25,953.0","299.85K","-0.61%"
"2020년 10월 29일","26,557.0","26,482.0","26,803.0","26,162.0","288.64K","0.56%"
"2020년 10월 28일","26,409.0","27,241.0","27,267.0","26,390.0","335.79K","-3.49%"
"2020년 10월 27일","27,365.0","27,581.0","27,713.0","27,232.0","177.04K","-0.78%"
"2020년 10월 26일","27,581.0","28,150.0","28,150.0","27,259.0","231.10K","-2.16%"
"2020년 10월 23일","28,189.0","28,313.0","28,392.0","28,045.0","132.13K","-0.28%"
"2020년 10월 22일","28,268.0","28,130.0","28,313.0","27,896.0","152.05K","0.48%"
"2020년 10월 21일","28,134.0","28,187.0","28,378.0","28,077.0","170.68K","-0.17%"
"2020년 10월 20일","28,182.0","28,182.0","28,466.0","28,048.0","170.40K","0.29%"
"2020년 10월 19일","28,100.0","28,496.0","28,669.0","28,025.0","156.94K","-1.08%"
"2020년 10월 16일","28,408.0","28,417.0","28,732.0","28,332.0","174.91K","0.08%"
"2020년 10월 15일","28,386.0","28,405.0","28,454.0","28,025.0","222.12K","-0.10%"
"2020년 10월 14일","28,414.0","28,577.0","28,726.0","28,343.0","198.47K","-0.60%"
"2020년 10월 13일","28,585.0","28,807.0","28,824.0","28,485.0","217.67K","-0.74%"
"2020년 10월 12일","28,798.0","28,518.0","28,846.0","28,433.0","173.93K","0.98%"
"2020년 10월 09일","28,518.0","28,378.0","28,570.0","28,324.0","169.79K","0.73%"
"2020년 10월 08일","28,310.0","28,179.0","28,452.0","28,151.0","179.04K","0.46%"
"2020년 10월 07일","28,179.0","27,568.0","28,250.0","27,539.0","193.67K","1.73%"
"2020년 10월 06일","27,700.0","28,010.0","28,232.0","27,531.0","287.02K","-1.05%"
"2020년 10월 05일","27,995.0","27,740.0","28,042.0","27,646.0","169.81K","1.56%"
"2020년 10월 02일","27,565.0","27,680.0","27,741.0","27,109.0","281.07K","-0.45%"
"2020년 10월 01일","27,689.0","27,606.0","27,962.0","27,543.0","267.51K","0.09%"
"2020년 09월 30일","27,664.0","27,354.0","27,904.0","27,039.0","297.64K","0.93%"
"2020년 09월 29일","27,408.0","27,498.0","27,619.0","27,213.0","175.15K","-0.27%"
"2020년 09월 28일","27,482.0","27,060.0","27,600.0","27,060.0","181.94K","1.62%"
"2020년 09월 25일","27,043.0","26,772.0","27,123.0","26,424.0","213.70K","1.23%"
"2020년 09월 24일","26,715.0","26,690.0","26,971.0","26,407.0","254.51K","0.11%"
"2020년 09월 23일","26,685.0","27,219.0","27,392.0","26,586.0","235.98K","-1.69%"
"2020년 09월 22일","27,143.0","27,000.0","27,207.0","26,858.0","199.34K","0.33%"
"2020년 09월 21일","27,055.0","27,568.0","27,663.0","26,584.0","264.29K","-2.71%"
"2020년 09월 18일","27,807.3","27,900.0","27,995.0","27,762.0","0.90K","-0.47%"
"2020년 09월 17일","27,938.0","28,069.0","28,112.0","27,550.0","36.70K","-0.41%"
"2020년 09월 16일","28,054.0","28,037.0","28,367.0","27,965.0","31.93K","0.10%"
"2020년 09월 15일","28,027.0","27,978.0","28,245.0","27,933.0","50.84K","0.12%"
"2020년 09월 14일","27,993.0","27,706.0","28,086.0","27,699.0","75.18K","1.38%"
"2020년 09월 11일","27,612.0","27,564.0","27,828.0","27,440.0","113.00K","0.24%"
"2020년 09월 10일","27,545.0","27,944.0","28,159.0","27,432.0","228.78K","-1.53%"
"2020년 09월 09일","27,972.0","27,376.0","28,196.0","27,185.0","220.39K","1.62%"
