datetime,US_interest_rate,Gold_Price,Gold_Change,Silver_Price,Silver_Change,US_10_year_rate,10_year_rate_Change,DollarIndex,DollarIndex_Change,USD_KRW_Price,USD_KRW_Change
2021-04-26,1.1,1776.8,0.12,25.99,-0.02,1.5648,0.12,90.757,-0.09,1115.13,0.04
2021-04-25,1.1,1774.65,-0.13,25.995,-0.31,1.563,0.22,90.839,-0.53,1115.13,0.04
2021-04-23,1.1,1777,-0.24,26.075,-0.4,1.5595,1.16,90.839,-0.53,1114.72,-0.36
2021-04-22,1.1,1781.2,-0.62,26.18,-1.47,1.5416,-1.12,91.321,0.21,1118.79,0.22
2021-04-21,1.1,1792.3,0.84,26.57,2.83,1.559,-0.45,91.129,-0.11,1116.35,-0.08
2021-04-20,1.1,1777.3,0.45,25.84,0.01,1.566,-2.73,91.227,0.19,1117.28,0.17
2021-04-19,1.1,1769.4,-0.54,25.837,-0.58,1.61,2.02,91.05,-0.54,1115.33,-0.1
2021-04-16,1.1,1779,0.77,26.105,0.54,1.5904,1.03,91.544,-0.08,1116.5,-0.02
2021-04-15,1.1,1765.4,1.76,25.964,1.72,1.5742,-3.67,91.618,-0.06,1116.68,0.05
2021-04-14,1.1,1734.9,-0.65,25.524,0.39,1.6341,0.88,91.674,-0.19,1116.08,-0.47
2021-04-13,1.1,1746.2,0.87,25.426,2.25,1.6198,-2.97,91.844,-0.33,1121.37,-0.26
2021-04-12,1.1,1731.2,-0.69,24.867,-1.73,1.6693,-0.31,92.144,-0.02,1124.32,0.3
2021-04-09,1.1,1743.3,-0.77,25.325,-1.02,1.662,2.2,92.16,0.1,1120.98,0.46
2021-04-08,1.1,1756.8,0.96,25.585,1.34,1.6262,-3.16,92.069,-0.44,1115.83,-0.29
2021-04-07,1.1,1740.1,-0.08,25.247,0.08,1.6792,1.29,92.472,0.13,1119.03,-0.01
2021-04-06,1.1,1741.5,0.84,25.227,1.8,1.6578,-2.91,92.348,-0.27,1119.17,-0.45
2021-04-05,1.1,1727,0.03,24.78,-1.07,1.7074,0.12,92.595,-0.49,1124.18,-0.4
2021-04-01,1.1,1726.5,0.74,24.948,1.7,1.6735,-4.04,92.947,-0.31,1128.72,0.14
2021-03-31,1.1,1713.8,1.78,24.532,1.64,1.744,1.99,93.236,-0.09,1127.17,-0.48
2021-03-30,1.1,1683.9,-1.65,24.137,-2.56,1.71,-0.41,93.321,0.39,1132.59,0.09
2021-03-29,1.1,1712.2,-1.16,24.771,-1.24,1.717,2.67,92.956,0.2,1131.56,0.23
2021-03-26,1.1,1732.3,0.42,25.114,0.27,1.6742,2.51,92.775,-0.05,1128.52,-0.58
2021-03-25,1.1,1725.1,-0.47,25.047,-0.73,1.6332,1.21,92.826,0.32,1135.12,0.02
2021-03-24,1.1,1733.2,0.47,25.231,0.02,1.6137,-0.53,92.53,0.2,1134.9,0.18
2021-03-23,1.1,1725.1,-0.75,25.227,-2.1,1.6223,-4.27,92.347,0.66,1132.9,0.61
2021-03-22,1.1,1738.1,-0.21,25.769,-0.71,1.6946,-0.71,91.741,-0.2,1126,-0.28
2021-03-19,1.1,1741.7,0.53,26.321,-0.11,1.7299,1.38,91.925,0.06,1129.12,0.12
2021-03-18,1.1,1732.5,0.31,26.351,1.12,1.7064,3.66,91.87,0.48,1127.75,0.58
2021-03-17,1.1,1727.1,-0.22,26.058,0.21,1.6462,1.53,91.435,-0.48,1121.21,-0.69
2021-03-16,1.1,1730.9,0.1,26.003,-1.08,1.6214,0.88,91.88,0.03,1129,-0.3
2021-03-15,1.1,1729.2,0.55,26.288,0.88,1.6073,-1.81,91.852,0.19,1132.35,-0.37
2021-03-12,1.1,1719.8,-0.16,25.911,-1.08,1.6247,5.83,91.678,0.28,1136.5,0.54
2021-03-11,1.1,1722.6,0.05,26.193,0.24,1.5352,0.92,91.418,-0.45,1130.35,-0.49
2021-03-10,1.1,1721.8,0.29,26.13,-0.2,1.5212,-0.45,91.828,-0.15,1135.91,0.09
2021-03-09,1.1,1716.9,2.32,26.183,3.62,1.5281,-4.67,91.964,-0.4,1134.91,-0.52
2021-03-08,1.1,1678,-1.21,25.269,-0.87,1.6029,0.23,92.334,0.37,1140.83,1.14
2021-03-05,1.1,1698.5,-0.13,25.287,-0.68,1.5766,1.25,91.99,0.38,1128,-0.25
2021-03-04,1.1,1700.7,-0.88,25.461,-3.51,1.5571,4.91,91.644,0.77,1130.87,0.43
2021-03-03,1.1,1715.8,-1.03,26.387,-1.83,1.4842,6.15,90.942,0.17,1126.05,0.09
2021-03-02,1.1,1733.6,0.62,26.879,0.75,1.3982,-1.92,90.79,-0.27,1125.01,1.05
2021-03-01,1.1,1723,-0.34,26.678,-0.57,1.4255,2.21,91.036,0.17,1113.33,-0.94
2021-02-26,1.1,1728.8,-2.62,26.44,-4.5,1.4066,-8.08,90.882,0.83,1123.89,0.46
2021-02-25,1.1,1775.4,-1.25,27.685,-0.87,1.5303,11.52,90.135,-0.04,1118.77,1.04
2021-02-24,1.1,1797.9,-0.44,27.928,0.67,1.3722,2.16,90.17,0,1107.27,-0.26
2021-02-23,1.1,1805.9,-0.14,27.742,-1.38,1.3432,-1.86,90.167,0.19,1110.13,-0.13
2021-02-22,1.1,1808.4,1.74,28.131,2.38,1.3687,0.51,89.999,-0.4,1111.59,0.66
2021-02-19,1.1,1777.4,0.14,27.293,0.65,1.3397,3.27,90.363,-0.26,1104.27,-0.24
2021-02-18,1.1,1775,0.12,27.118,-0.87,1.2973,1.19,90.6,-0.38,1106.96,0.12
2021-02-17,1.1,1772.8,-1.46,27.357,-0.04,1.2821,-2.18,90.949,0.49,1105.61,-0.09
2021-02-16,1.1,1799,-1.09,27.368,-1.1,1.3107,4.85,90.503,0.04,1106.58,0.48
2021-02-15,1.1,1818.75,-0.13,27.672,0.59,1.2501,3.32,90.47,0,1101.31,-0.12
2021-02-14,1.1,1821.05,-0.12,27.51,0.52,1.2099,3.87,90.47,0.06,1102.59,0.04
2021-02-12,1.1,1823.2,-0.2,27.368,1.02,1.2099,3.87,90.47,0.06,1102.59,0.04
2021-02-11,1.1,1826.8,-0.86,27.091,-0.11,1.1648,3.61,90.413,0.06,1102.12,-0.3
2021-02-10,1.1,1842.7,0.28,27.12,-1.16,1.1242,-3.1,90.363,-0.07,1105.48,-0.49
