날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 26일,25.99,25.995,26.177,25.905,-,-0.02%
2021년 04월 25일,25.995,25.992,26.045,25.965,-,-0.31%
2021년 04월 23일,26.075,26.195,26.47,25.89,63.84K,-0.40%
2021년 04월 22일,26.18,26.65,26.67,26.025,84.13K,-1.47%
2021년 04월 21일,26.57,25.88,26.73,25.795,94.21K,2.83%
2021년 04월 20일,25.84,25.875,26.15,25.725,70.92K,0.01%
2021년 04월 19일,25.837,26.055,26.28,25.67,68.09K,-0.58%
2021년 04월 18일,25.988,26.035,26.062,25.973,-,-0.45%
2021년 04월 16일,26.105,25.94,26.38,25.795,58.50K,0.54%
2021년 04월 15일,25.964,25.48,26.07,25.38,72.56K,1.72%
2021년 04월 14일,25.524,25.405,25.59,25.235,56.47K,0.39%
2021년 04월 13일,25.426,24.83,25.54,24.68,77.44K,2.25%
2021년 04월 12일,24.867,25.3,25.33,24.725,65.06K,-1.73%
2021년 04월 11일,25.305,25.315,25.32,25.253,-,-0.08%
2021년 04월 09일,25.325,25.53,25.555,25.01,60.53K,-1.02%
2021년 04월 08일,25.585,25.21,25.675,25.02,65.65K,1.34%
2021년 04월 07일,25.247,25.21,25.33,24.895,44.35K,0.08%
2021년 04월 06일,25.227,24.905,25.355,24.795,53.64K,1.80%
2021년 04월 05일,24.78,25.05,25.14,24.66,39.25K,-1.07%
2021년 04월 04일,25.047,25.003,25.062,24.965,-,0.40%
2021년 04월 01일,24.948,24.46,25.045,24.27,63.17K,1.70%
2021년 03월 31일,24.532,24.045,24.565,23.74,65.79K,1.64%
2021년 03월 30일,24.137,24.725,24.77,23.88,72.66K,-2.56%
2021년 03월 29일,24.771,25.105,25.15,24.48,52.99K,-1.24%
2021년 03월 28일,25.082,25.133,25.145,25.038,-,-0.13%
2021년 03월 26일,25.114,25.15,25.335,24.92,42.08K,0.27%
2021년 03월 25일,25.047,25.17,25.255,24.435,86.47K,-0.73%
2021년 03월 24일,25.231,25.12,25.43,25.02,42.91K,0.02%
2021년 03월 23일,25.227,25.85,25.915,25.05,63.34K,-2.10%
